Query,Class
Movie that will make me cry,genres-name
Short movie with a good story about a fish,movies-runtime
Movie that has theme song let it go,unknown
Movies for a girls night in,unknown
Movies about spies and con artists,genres-name
Movies like Sixteen Candles,movies-name
Classic comedy movies,genres-name
Classic horror films,genres-name
Movie where Dwayne Johnson is climbing a skyscraper,unknown
Recently released movies,movies-release-date
Marvel movies,unknown
DC movies,unknown
A movie about drug related crimes,genres-name
Movie similar to 'drive' aesthetic,unknown
Movies also directed by todd solondz,people-known-for-department
Highest rated comedy film of 2017,movies-popularity
I want more movies with Chris Pratt,people-name
I want more movies with Chris hemsworth,people-name
I want more movies with Chris Evans,people-name
I want more movies with Chris pine,people-name
Ryan Gosling movies,people-name
2008 movies,movies-release-date
Scary movies,genres-name
Romantic comedies,genres-name
I look for movies under the category of Romantic Comedies,genres-name
Popular movies in early 2000's,movies-popularity
Movies with a good happy ending,unknown
All the movies in Fast and Furious series,movie-series-name
2018 superhero movies,movies-release-date
Movies by will smith,person-name
Movie with fast cars,unknown
Action movies of 2018,movies-release-date
Movies regarding the music industry,genres-name
Critically acclaimed movies starring Ryan Gosling,people-name
Indie movies with a famous cast,unknown
Hollywood films with Bollywood actors,unknown
Best classic movies,movies-popularity
Horror movies that arnt that scary,genres-name
All movies in sharknado series,movie-series-name
Movie with a strong female role in it,people-gender
Movies with an under dog story,unknown
Movies done in Canada,unknown
Movies like Rocky,movies-name
Al Pacino Robert De Niro diner scene,people-name
Leo Dicaprio dream movie,movies-name
Horror movie with sequential,genres-name
David Fincher movie,people-name
I want a movie about baseball,unknown
A 3 hour movie,movies-length
All movies starring Gary Busey,people-name
List of 2018 movies,movies-release-date
Best 90s movies,movies-release-date
Classic comedy movies,genres-name
List of Ryan gosling movies,people-name
Recent movies that just came out,movies-release-date
